Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,-0.0196007541950083,-0.648944948529495,0.024353385968482,0,0,0,5.59080938664047,0.247517365727123,-7.89918654007842E-07,-4.97184130106616E-07,0.124563077930789,5.75895982312612E-06,0.359003812638167,0,0,0,0,0,0,package://humaniodURDF/meshes/trunk.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://humaniodURDF/meshes/trunk.STL,,sm_humanoid_walker_trunk-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder,0.00281413265535579,7.70049718122612E-08,0.019600317547966,0,0,0,0.686395170990813,0.00865551764844077,3.51058697522643E-09,-2.05382303951221E-08,0.00881608629420832,-1.00843509235348E-09,0.00291651715730352,0,0,0,0,0,0,package://humaniodURDF/meshes/shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humaniodURDF/meshes/shoulder.STL,,shoulder-1,Origin_shoulderJoint,Axis_shoulderJoint,shoulderJoint,revolute,0,-0.892320830662467,0.0243476825361448,1.5707963267949,-0.0373647645618865,-1.5707963267949,trunk,0,0,1,0,0,0,0,,,,,,,,
neck,8.12323459886688E-08,4.66688775437041E-08,0.0781850292263323,0,0,0,0.319541921315556,0.00112647457064757,3.97035096891069E-09,-3.57396472130261E-09,0.00164167149754665,6.2472139464942E-10,0.000626379797317439,0,0,0,0,0,0,package://humaniodURDF/meshes/neck.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://humaniodURDF/meshes/neck.STL,,sm_humanoid_walker_neck-1,Origin_neckJoint,Axis_neckJoint,neckJoint,revolute,0.016865,0,0.0196,1.5708,1.4822,1.5708,shoulder,0,0,1,0,0,0,0,,,,,,,,
head,3.40361308503664E-06,0.00614774631013307,8.79188126967634E-07,0,0,0,0.151198318939457,0.00128943819163848,4.35664804797042E-09,-5.21634488341657E-07,0.00154248586396279,-5.92070333195862E-09,0.00131076510276719,0,0,0,0,0,0,package://humaniodURDF/meshes/head.STL,0.262745098039216,0.282352941176471,0.298039215686275,1,0,0,0,0,0,0,package://humaniodURDF/meshes/head.STL,,sm_humanoid_walker_head-1,Origin_headJoint,Axis_headJoint,headJoint,fixed,0,0,0.236817064766238,0,0,0,neck,0,0,0,0,0,0,0,,,,,,,,
face,0,-0.00309876283174063,0,0,0,0,0.0657059672105683,0.0001932443956556,6.63015039463304E-19,-2.71050543121376E-20,0.000386454172107391,-1.18838722499778E-18,0.0001932443956556,0,0,0,0,0,0,package://humaniodURDF/meshes/face.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://humaniodURDF/meshes/face.STL,,sm_humanoid_walker_cover-2,Origin_faceJoint,Axis_faceJoint,faceJoint,fixed,0,-0.0889127371682583,0,3.14159265358979,-0.511507995868017,-3.14159265358979,head,-0.0588509881535453,0.995379127212307,-0.0758745959028304,,,,,,,,,,,,
leftShoulder,0.0918073535217744,-1.7787782136125E-08,1.52168755707116E-07,0,0,0,0.398306716640249,0.000379759274328992,-2.80746671550173E-09,-3.69146561641154E-10,0.000861309636580548,-2.70985979680926E-09,0.00113108827179537,0,0,0,0,0,0,package://humaniodURDF/meshes/leftShoulder.STL,0.262745098039216,0.282352941176471,0.298039215686275,1,0,0,0,0,0,0,package://humaniodURDF/meshes/leftShoulder.STL,,sm_humanoid_walker_shoulder_swivel-2,Origin_leftShoulderJoint,Axis_leftShoulderJoint,leftShoulderJoint,revolute,0.14264,-0.89232,0.024348,-1.5742,0,0,trunk,1,0,0,0,0,0,0,,,,,,,,
leftUpperArm,-1.0563352220716E-08,-1.25698858080558E-05,-0.135948032674192,0,0,0,1.22449547352017,0.0242187730875998,-1.12933198423838E-09,-1.01190256799049E-08,0.0252517370821193,-2.11304105927723E-06,0.00246877671143393,0,0,0,0,0,0,package://humaniodURDF/meshes/leftUpperArm.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://humaniodURDF/meshes/leftUpperArm.STL,,sm_humanoid_walker_upper_arm-3,Origin_leftUpperArmJoint,Axis_leftUpperArmJoint,leftUpperArmJoint,revolute,0.128906887410836,0,0,3.06340623894063,0,-1.5707963267949,leftShoulder,1,0,0,0,0,0,0,,,,,,,,
leftLowArm,4.56590011632674E-09,-1.32690687111858E-05,-0.143238186727596,0,0,0,0.889919890504689,0.0122727616722074,-2.77887950443558E-10,-8.75320512326214E-09,0.0129678330826334,-1.06952215436892E-06,0.00144235018216805,0,0,0,0,0,0,package://humaniodURDF/meshes/leftLowArm.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://humaniodURDF/meshes/leftLowArm.STL,,sm_humanoid_walker_lower_arm-3,Origin_leftElbow,Axis_leftElbow,leftElbow,revolute,0,-2.8829164424371E-05,-0.311149998664438,-0.102170080502436,0,0,leftUpperArm,1,0,0,0,0,0,0,,,,,,,,
leftHand,1.98012649304247E-05,0.000283275387074677,-0.0693309767624268,0,0,0,0.793553314793186,0.00371655908859085,-1.92812890678629E-07,3.08565752039683E-07,0.00418080865538126,-0.000503457171592002,0.00179333225741833,0,0,0,0,0,0,package://humaniodURDF/meshes/leftHand.STL,0.262745098039216,0.282352941176471,0.298039215686275,1,0,0,0,0,0,0,package://humaniodURDF/meshes/leftHand.STL,,sm_humanoid_walker_hand-3,Origin_leftWrist,Axis_leftWrist,leftWrist,revolute,0,-2.47107123608759E-05,-0.266699998855232,-0.276918679247829,1.26654224345601E-05,-3.1415480917339,leftLowArm,0.999999998926914,-4.6326794879854E-05,0,0,0,0,0,,,,,,,,
rightShoulder,0.0918073535217748,-1.7787782136125E-08,1.52168755596094E-07,0,0,0,0.398306716640246,0.000379755493333687,-1.85701887390622E-09,-1.19085319234107E-09,0.000861306869954538,-3.49607611312358E-09,0.00113108652107156,0,0,0,0,0,0,package://humaniodURDF/meshes/rightShoulder.STL,0.262745098039216,0.282352941176471,0.298039215686275,1,0,0,0,0,0,0,package://humaniodURDF/meshes/rightShoulder.STL,,sm_humanoid_walker_shoulder_swivel-1,Origin_rightShoulderJoint,Axis_rightShoulderJoint,rightShoulderJoint,revolute,-0.18184,-0.89232,0.024348,-1.5149,0,3.1416,trunk,1,0,0,0,0,0,0,,,,,,,,
rightUpperArm,0.00444498735831533,-1.25529617410192E-05,-0.135948035131557,0,0,0,1.22449704111065,0.0242187687748866,-1.38260726543875E-09,-8.51895058851969E-09,0.0252517345071369,-2.11527546791472E-06,0.0024687784169452,0,0,0,0,0,0,package://humaniodURDF/meshes/rightUpperArm.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://humaniodURDF/meshes/rightUpperArm.STL,,sm_humanoid_walker_upper_arm-2,Origin_rightUpperArmJoint,Axis_rightUpperArmJoint,rightUpperArmJoint,revolute,0.128906887410834,0,0,0.187243719893693,0,-1.57079632679489,rightShoulder,1,0,0,0,0,0,0,,,,,,,,
